自动钓鱼 (跳过钓鱼小游戏，直接完美钓鱼！甚至鱼王都)
酒吧街机（祝尼魔赛车）- 轻松通关 (祝尼魔赛车无限跳跃高度，游戏进程变为5倍)
温室升级 (该模组为温室添加5项升级。升级可以通过完)
巧克力服装 (该模组添加了可以增强时尚感的巧克力服装，)
季节性栅栏 (该模组为您的游戏中的栅栏设计了新的颜色，)
可建造的温室 (现在你可以建造额外的温室有不同的大小选择)
可视经验条 (一个简单的方法来可视化每个农民技能的经验)
克林特商店 (现在克林特开始卖金属锭了，现在你可以去他)
时间手表 (物品栏中将生成一个时间手表，可用于存储和)
可爱花朵连衣裙 (此mod添加了6件可爱花朵印花新服饰连衣)
更多矿车 (在山谷周围添加更多矿车点。矿车地点是：农)
查漏补缺 (这个mod告诉你你错过了某些特定季节的东)
更大的农舍 (农舍空间变大，可以规划更多东西注意事项:)
秘密森林拓展 (在秘密森林的南部添加了一个新区域注意事项)
卡特丽尔 NPC (卡特丽尔是星露谷发生的一个随意的观察者，)
果仁的衣服包1 (这是我带来的六套新衣服每套都有头饰 美瞳)
黑市 (在你完成社区中心后，在隧道中增加一个Jo)
建设的呼唤 (你可以通过电话订购建筑项目(建造、升级、)
季节性地板与路径纹理 (该模组为您的游戏中的路径与地板设计了新的)
新增120种浴室家具纹理 (这个包让你有6个选择！还有水槽、浴缸、淋)
友谊影响价格 (你和店主的友谊程度会影响他们的价格如果你)
加强原版食谱威力 (重新设计了原来的配方，增加了增益效果，并)
畜牧业拓展 (通过在游戏中添加新工具来改善畜牧业。增加)
美图馆 (还在为选择哪个美化包更好吗，这个模组完美)
超级容易钓鱼 (强制鱼在最底部，你可以稍微享受钓鱼的乐趣)
更简单的结婚戒指 (和你的伴侣结婚不应该太难!!这个mod改)
独特的鱼类 (为游戏添加了 40 种新的鱼/觅食/蟹锅)
空罐子气泡 (永远不要不小心把罐子空了！会有提示，这也)
预览晶石奖励 (允许您预览将从晶石获得的奖励注意！！ 此)
醍醐网络 (joja公司选择鹈鹕镇作为他们光线的试点)
哥特式建筑 (将农场建筑的外观改成哥特风的建筑注意事项)
里奇赛德村鱼类动画 (为里奇赛德村的鱼类添加了动画效果，需要先)
自定义洒水器 (优化了洒水器的范围，并且你现在可以自定义)
远程工具 (这个模组让你自定义最大范围的工具使用和物)
多人游戏信息 (安装该模组之后在进行多人游戏时可以显示一)
厨房爱好者-食品储藏室和杂物家具 (该模组为你内心的厨房爱好者准备的家具模型)
自动浇水罐 (这个模组帮助农民自动灌溉作物，简化繁琐的)
温室家具 (这个mod为游戏增加了35个新的家具项目)
经验控制 (增加或减少你从原版技能中获得的经验值。注)
猫树上的猫 (猫会坐在猫树上，定期梳理自己！注意事项:)
自助购物 (不想等待像玛妮和克林特这样的店主离开吗？)
沉浸式洒水器的回归 (允许您在农作物之间的区域放置洒水器，不占)
NPC日程安排（全版本兼容） (根据当前世界条件显示NPC当前的日程安排)
组合多个环 (允许锻造多个环在一起，而不是两个。注意事)
龙骑士 (替换了马的外观注意事项:注意：此MOD可)
模块化技能大修 (对原版的职业技能进行了大修，现在职业技能)
露娜 (这个模组的主要焦点是露娜，一个有着秘密过)
（FS）高清男装发型包 (本模组含有11款高清男农夫发型，需要前置)
（FS）高清服装包二 (32套高清FS服饰共含92个单品，需要前)
超大量怪物 (大大增加怪物生成的数量注意！！ 此mod)
中式建筑 (用季节性的中国建筑取代农舍。注意事项:注)
冻结时间 (在多人游戏中冻结时间的好模组注意事项:注)
更活跃的社区中心 (Vanilla+ 风格的模组，使社区中心)
可购买的恐龙和鸵鸟 (您可以在 Marnie's Ranch )
平衡动态采石场 (改进采石场，同时动态解锁煤渣碎片和放射性)
防水物品 (防水物品模组会使掉进水里的物品漂浮起来，)
跳过开屏动画 (跳过了主菜单界面之前的开场动画，这样能更)
奶油色现代浴室 (该模组为农舍内的实用浴室 用可爱的功能性)
超级温室 (该模组是一个非常非常大的超级海滩温室，大)
家具重新着色 (在许多家具、墙纸和地板中添加各种匹配的木)
反向求婚模组 (这个模组为《星露谷物语》的恋爱系统带来了)
地图缩放 (一个简单的mod，可以让您指定缩放级别，)
烟草和麻草 (此mod新增烟草和麻草两种作物，可以在桑)
柔和的季节色调 (将地形更改为柔和的颜色，缓慢变化的季节。)
罗宾出售大型工艺品 (一个简单的模组，为罗宾商店添加大型可工艺)
纳米的花园风格工艺品 (对一些常用的的工艺品的纹理进行优化，尤其)
自助服务模块商店营业时间延长 (该模组可对商店的营业时间进行配置，使它们)
穿墙模式 (只需按一下按钮（f11）即可启用穿墙模式)
粘土出售 (将粘土添加到罗宾的商店中作为可购买的物品)
动物不除草 (动物在外面吃东西时吃草但不去掉草注意！！)
水族馆 (添加了一个水族馆到游戏中，可在火车站坐火)
四角农场翻新 (对四角农场进行了翻新扩建，且围栏缺口处有)
巨型农场 (新增一个非常大的农场，更大的温室。山洞、)
优雅可爱的猫纹理 (将默认的猫替换为更优雅的猫纹理外观。﻿这)
前置2 (必须安装的前置依赖：SMAPI（前置依赖)
结婚纪念日 (NPC配偶现在会记住你的结婚纪念日并赠送)
舒适简单的时尚感披肩 (该模组加上舒适的披肩时尚感与两件衬衫的变)
精品店 (这个mod增加了50件漂亮的家具，让玩家)
可定制的婴儿和儿童 (允许玩家完全自定义他们的婴儿、幼儿和儿童)
怀孕的海莉 (这个mod增加了一个怀孕的海莉模型，当她)
更舒适的史莱姆屋 (重新设计的史莱姆屋，使其看起来更舒适。注)
幽咪的可爱睡衣 (在游戏中加入一些非常可爱的女性睡衣服饰。)
选择宝宝性别 (在宝宝命名界面中添加性别选择按钮注意事项)
光标修改 (修改了光标的外观，使用了花园主题的图案注)
将马转变为电动车 (该模组可以将马转化为电动车通过玩家动力客)
可以与人工智能村民交谈 (用法走到星露谷中的一个角色面前。按“t”)
强大的窃贼戒指 (添加5个高级窃贼戒指。它们可以显著提高从)
可爱粉色活力季节性建筑 (这个AT纹理模组包含了许多建筑类型，建筑)
提高镰刀收割能力 (这个mod提高了铱镰刀的收割能力，便于玩)
现代壁挂式电视 (特点：- 两台功能齐全的壁挂式电视可从 )
多变的天空 (是一个用于向游戏添加自定义天气类型的框架)
生日提醒邮件（全版本兼容） (这个mod是一个简单的时尚生日提醒邮件，)
显示生日 (必须安装的前置依赖：SMAPI（前置依赖)
Hello Kitty家具 (该模组添加了26件Hello kitty)
hello Kitty洒水器 (该模组添加了三丽鸥主题hello Kit)
阳台 (该模组增加了一个可爱的小阳台来装饰和种植)
内容修补Content Patcher (Content Patcher 会加载内)
秘密温室 (通过从罗宾那里购买一扇门，为您的房子添加)
更好的钓鱼 (让您立即钓到鱼和宝藏，并确保您永远不会用)
便宜的材料 (降低Robin和Clint商店的材料价格)
草莓园农场 (又一张农场地图，已经为你设计好了农田位置)
矿井下梯无敌 (这个模组在矿井或洞穴中下降一个关卡时会提)
意大利乡村农舍 (该模组将游戏原版的农舍变成风景如画的意大)
威利季节性商店 (这个模组有什么功能？威利现在会根据季节出)
扩展农场 (将标准农场地图替换为添加专用动物围栏，采)
洒水喷头附件 (增加新的洒水装置附件，可以放在洒水装置上)
大鸡舍 (增加处理鸡蛋的空间，有NPC屏障，这样小)
年轻的玛妮 (鹈鹕镇西边的牧场主玛妮变得更加年轻化，看)
尤娜npc (新增了一个npc，将会在游玩五天以后触发)
斯凯尔的大酒窖 (扩大地窖，增加一点作物面积。)
TeleportNpc——传送到NPC (安装方法1. 安装最新的SMAPI2. )
独一无二的花朵舞会服装 (你有没有注意到花舞精灵看起来像是复制粘贴)
更好的战斗 (新增几个攻击设置，比如你可以用鼠标控制攻)
更好的农具 (此mod为铱农具新增5*5范围注意！！ )
精通技能修改 (在玩家可以在相应技能升到10级之后开始获)
超级跳跃 (本模组可以让你跳过大大小小的物体和障碍，)
沉浸式桑迪 (桑迪是游戏中我最喜欢的角色之一。不幸的是)
鱼预览 (钓鱼的时候可以预览钓上来的种类注意事项:)
暮光之城 (这是一个为API定制的npc mod，包)
覆盆子田农场 (一个标准的农场布局，有专门的动物围栏（动)
月球冒险 (该模组可以使你去月球冒险修复古代飞行器便)
加急订单 (你可以花费额外的金币来让罗宾和克林特更快)
地下温泉 (将农场的果蝠洞替换成一个大型的底峡温泉洞)
精灵耳朵装饰 (这是一个简单的mod，允许玩家自定义他们)
贷款模组 (该模组让你在一段时间内借钱，每天还款分期)
日历上的纪念日 (该模组将将玩家的结婚纪念日和孩子的生日添)
十套万圣节高清FS服饰 (十套万圣节高清FS服饰,祝大家用的愉快!)
罗宾升级温室 (该模组让你和罗宾一起升级温室，使它具有挑)
花面纱 (该模组增加了一个新的动画花面纱，并带有四)
奶油家具 (这个模组增加了新的深棕色和奶油家具(不替)
桃色ui (该模组对ui进行重新着色，修改为更为柔和)
特大号谷仓 (全新的特大号谷仓可容纳 48 只动物，包)
只有鱼吃诱饵 (只有鱼吃诱饵，其他所有东西都不吃注意事项)
烟花节 (增加了夏季烟花节和手工烟花。增加了一个新)
拖拉机任务 (此模组是拖拉机模组的一个扩展，所以需要先)
果树重新着色 (为果树重新上色，使之拥有其独特的风格颜色)
全山谷所有建筑的重新着色 (为山谷的建筑进行重新着色。通过玩家动力客)
更大的农场洞穴（果蝙版） (将原本的水果蝙蝠农场山洞替换成更大的山洞)
无限生命 (在Junimo购物车中给你无限的生命（当)
箱子搜索栏 (增加了一个游戏基础的搜索栏，可查看箱子的)
可配置的巨型作物 (增加了巨大作物生长机会和额外位置的配置选)
巨大花朵 (和南瓜等作物一样，花朵也有巨大的注意！！)
更多狗子模型 (为狗子增加更多模型外观，可爱极了。注意！)
标准农场重新设计 (标准农场的简单重新设计。特点：移除池塘，)
气候系统 (这个mod扩展了气候系统，使其更加强大注)
动物好感度菜单 (在好感度上方添加了一个额外的动物好感度，)
混合肥料 (该模组添加了由超级肥料组合而成的混合肥料)
卡罗琳重制肖像和精灵 (卡罗琳的精灵中的一些重新设计和小细节)
用自行车代替马 (将游戏中的马匹变成自行车，从骑马变成骑车)
短发型的时尚感 (该模组增加了几个短发的时尚感。♡(´꒳”)
浪漫的收入 (这个模式让你的配偶每个月给你一部分收入。)
本田摩托车 (做一个没有梦想的农民?或者做一个开着本田)
巨大农场 (该模组为4K版的标准地图，其中大湖被移走)
额外细节 (为星露谷物语添加了一些额外的视觉细节。注)
战斗质量 (1.自动摆动武器。2.使用工具/武器时，)
佩妮优化 (我们漂亮的佩妮迫切需要一个个性！凭借几乎)
寻找小帮手 (帮助找到棱镜蝴蝶。展示明天的运气。在日历)
自动觅食器 (允许玩家只需靠近物品即可自动觅食。注意事)
苔藓树泡泡 (当树上有可收获的苔藓时，在树上贴上提醒。)
箱子纹理替换 (使用替代纹理将箱子变成桶、板条箱、架子等)
城镇动物 (在星露谷中加入多种动物，部分是家养的，部)
彩色种子包 (为种子的包装涂上了符合它们色调的彩色注意)
黑摩托车 (该模组将游戏里的马替换为动漫《Durar)
随时随地种植作物汉化版 (你是否觉得，光是在农场和姜岛种地不够过瘾)
女巫服装和犄角 (该模组增加3个新的长裙，2对角和2个新的)
塞巴斯蒂安的车库 (为结婚后的塞巴斯蒂安新增一个车库注意！！)
健身房 (在鹈鹕镇增加一个健身房。告别通常的星期二)
天气图腾 (天气图腾扩展增加了另外五个图腾来改变明天)
兰登教堂 (这个mod在社区中心的左边，在空空的围栏)
舒适酒窖 (将地下室改造成温馨的小房间注意事项:注意)
可爱作物 (对作物和觅食物品进行了重新纹理，使其看上)
冬季作物 (添加了七种作物、2种花卉和两种果树到游戏)
干草收割 (你可以在没有筒仓或者筒仓已满的情况下收割)
火辣老妈 (更改了潘姆的头像，比原来看上去更辣更年轻)
娘化生物 (将家养生物娘化注意！！ 此mod与其他相)
更多的大农场 (新增几种大农场注意！！ 此mod与其他相)
回到18岁 (该模组优化了可攻略的npc的肖像，让你的)
假门假窗 (增加新的装饰品假门假窗，使你的房子看起来)
核谷 (添加核弹、工业和军事农场建筑、马里索尔、)
怪物数值修改器 (允许更改游戏中大多数怪物的伤害、防御、生)
自由活动 (允许动物在玩家不在时在农场里走动这个模组)
扩展独特的礼物对话 (添加 110+ 行与赠送城镇特定物品相关)
超级温室 (将温室变得超大，建议使用拖拉机模组来收获)
洛离的上衣与裙子26 (12套服装)
欺骗菜单 (一个简单的游戏作弊菜单，有很多作弊功能，)
在任何水里游泳 (这个模组可以让您在任何有水的地方游泳在陆)
树状家具 (一套树状家具，可以放置在室内和室外注意事)
更好的牧场 (防止失败挤奶/剪毛尝试，并添加一个指示器)
古风新年新衣服 (在游戏中加入了一些无袖的新年古风衣服，看)
更好的出货箱 (优化了出货箱，你可以更好的查看今天出售了)
梳妆台 (在农舍内添加了一个梳妆台，可以随时自定义)
数码宝贝主角服装 (一个时尚感内容包，根据《数码宝贝生存》主)
黑化潘妮 (重新构想了 潘妮 的 2、4、6、8 和)
洛离的上衣与裙子31 (八套服装)
（FS）高清服装包一 (24套高清FS服饰共含107个单品，需要)
桑迪沙漠玫瑰扩展汉化版 (这个模组将桑迪重新塑造成一个可以完全浪漫)
更小的鱼塘 (所有的鱼塘在安装这个mod后变成4x4，)
预测对方对礼物的反应 (你可以预料到NPC对礼物的看法，从而避免)
亚历克斯言辞修改 (一个言辞更符合国人审美的亚历克斯。以亚历)
女巫帽 (增加三种风格的女巫帽的时尚感，都是可染色)
更好的采石场 (增加采石场宝石，矿物，晶球的刷新率注意！)
皮埃尔出售当季作物 (皮埃尔的杂货店现在出售当季作物。注意！！)
小型鱼塘的回归 (将鱼塘转换为较小的 3x3 占地面积。注)
雨伞系统 (这个模组为 NPC 提供了一把雨伞，让他)
瓷砖厨房和餐桌套装 (使用后就可以对厨房和餐桌套装进行瓷砖化处)
乘坐热气球 (允许你邀请任何你正在约会的村民乘坐热气球)
土壤保持 (维持耕耘后的土壤样貌，不会因为睡了一觉而)
多种多样的蝴蝶 (为原版游戏的蝴蝶增加了更多的外观注意事项)
聚宝盆-工匠机器 (增加10个新的工匠机器从原版和定制的80)
季节帽子 (此mod增加几种季节帽子，符合各个季节风)
电视购物频道 (添加一个电视购物频道，它会在给定的日子里)
紫色和枯萎的主题工具 (一些紫色和枯萎的主题工具。注意！！ 此m)
金缕梅树 (一种金缕梅树，可以生产金缕梅并长出金缕梅)
动画仙女装饰品 (提供左右方向的 4 种配色，总共 8 种)
幽灵骑士摩托车 (这只是一个简单的模组，用幽灵骑士的标志性)
家具堆叠 (允许你堆叠家具和壁纸到999个，这样就不)
木桶随处摆放 (木桶可以在任何地方摆放，而不是仅限于地下)
银行 (在星露谷中加入银行系统在你完成社区中心并)
星露角 (星露角：开始史诗般的探索，进入一个神秘的)
大鱼塘 (升级到普通鱼塘，允许你最多养20条鱼。新)
天精工具(太阳版) (星光与你同在。新的工具皮肤!注意！！ 此)
怪物女孩 (该模组加上了你可以在玛妮农场领养的怪物女)
米色内饰 (该模组为玩家添置了新家具。使用：你需要在)
预测 (增加了游戏内显示RNG事件预测结果的叠加)
树叶的重新设计 (该模组对各种树叶进行重新着色，使其更为多)
沙漠矿井自动暂停 (当进入沙漠矿井时，时间会自动暂停。这个功)
地图重新着色 (将地图重新着色注意！！ 此mod与其他相)
女性版哈维 (全新的女性版本的医生哈维，全新的肖像和外)
安全的闪电 (阻止闪电摧毁庄稼和树木，同时仍然允许它击)
商店售卖后期物品 (在城镇商店中添加了一些游戏后期物品。随意)
宝可梦密勒顿取代马 (使用来自宝可梦游戏中的密勒顿外观取代马，)
粉红色的界面 (将各种ui改成粉红色的注意事项:注意：此)
特色树种 (用每个区域的特色树种替换了四个传送图腾的)
巨型作物戒指 (添加了一个戒指，能提高巨型作物出现的概率)
魔法树 (将几种可砍伐的大树外观替换成魔法形成树的)
超级大农场 (与原来的模组相比，这个模组使农场扩大十倍)
可爱的物品纹理 (可爱风格的农作物、饲料、手工艺品、文物、)
简化社区任务 (这个mod允许你完成一个大任务只要一个项)
夏日休闲女鞋和裤子 (该模组添加了8款宽腿鞋(5款平底鞋，3款)
露西的冬季作物 (在游戏中添加冬季作物、配方和杜松子酒。厌)
浴室家具 (该模组为游戏添加了一些基础浴室家具，使其)
自定义小饰品 (自定义小饰品。使用铁砧，您可以更改铁砧的)
随意调节皮尔逊商店的种子库存 (让您完全控制 皮尔逊 的种子库存注意！！)
自由建造 (此模组允许玩家在罗宾那在任何没人经过的地)
小型风力发电机 (此模组允许你在早期制作风力发电机以获得电)
新NPC-鱼贩 (将一个新的NPC添加到姜岛上。康斯坦斯，)
自动进食 (在体力或健康耗尽时自动进食。注意事项:注)
金属锭转换 (金属锭之间可以相互转换2根铁锭到3根铜锭)
随时随地放置任何东西 (这个模组可以让你在任何地方放置家具，包括)
童话风格的季节性草地 (将季节性草更改为“童话”色草。将游戏中的)
补充筒仓 (允许购买尽可能多的干草，以自动从动物商店)
美少女战士猫 (使用美少女战士猫模组改造您星露谷物语中的)
野花 (草地上会随机生成各季节的作物花卉，例如春)
远古遗迹修改 (更改了远古遗迹（蚯蚓）的外观注意事项:注)
美人鱼水手 (将海滩水手的外观替换成美人鱼注意事项:注)
冬草 (青草在冬天不会再枯萎，这样就不用担心忘记)
暮光闪闪 (该模组通过Content Patcher)
智能晶球处理 (这个模组为《星露谷物语》的铁匠铺晶球处理)
鱼孵化场 (这个mod增加了一个新项目，鱼孵化场，三)
采集扩展 (全面扩展了星露谷的觅食，更多的水果，鲜花)
动物炸弹 (将炸弹的外观改为可爱的动物注意！！ 此m)
粉碎机 (此mod新增粉碎机，现在可以不用找克林特)
自定义传送 (允许您创建自定义传送点，可通过控制台或聊)
煤炭树 (添加一棵煤炭树，每个季节每天生产 1-5)
宠物龙 (该模组将猫换成了龙。有 3 种颜色：淡紫)
显示怪物健康值 (以绝对生命值或百分比显示其下方的怪物生命)
怀孕选择 (选择谁怀孕或总是收养！这是一个快速模组，)
绿色鲜花主题界面 (白底绿色鲜花主题的绿色界面替换了原版的主)
技能转生 (下水道雕像处重置技能可以保留学到的技能，)
农贸市场物品 (添加了一些可制作的农贸市场装饰品，来装饰)
joja种子 (多亏了 JojaCo，您现在可以在种子上)
定制温室 (觉得原来的温室太小了吗，这个模组扩建了温)
大型渔场地图 (这个内容补丁模组将默认的渔场地图替换为提)
更好的缩放 (这个模组为《星露谷物语》添加了鼠标滚轮自)
洛离的上衣与裙子28 (十套服装)
亚历克斯浪漫对话和事件 (亚历克斯一开始还是像往常一样沉迷于网球，)
粉色ui界面 (♡可爱的粉色界面♡为玩家带来新的视觉体验)
清理农场垃圾 (农场里的树木、灌木丛、岩石、杂草、树桩、)
鹅 (这个mod在游戏中添加了鹅作为农场动物。)
可用社区中心 (有没有想过，一旦社区中心完全升级，就能使)
高级钓鱼宝藏 (这个模组允许你自定义钓鱼宝箱。改变获得宝)
新怪物烹饪食谱 (添加了 14 种新配方，其中包含矿井中怪)
星露谷物语宝箱价值 (显示箱子、迷你行李箱或 Junimo 小)
桑拿房和农舍重新设计 (通过添加桑拿浴室来改变姜岛农舍的内部注意)
蝴蝶结造型发箍装饰 (此mod添加蝴蝶结发型装饰。兼容1.6游)
自动捕捉 (当鱼（或其他东西）咬人时自动捕捉这个模组)
可莉的衣服、头发和帽子 (原神中可莉的衣服、头发和帽子，喜欢的快试)
更清晰的挖掘点 (这个mod在挖掘点周围画了一个红色边框，)
帅气的鸡 (鸡......但更酷注意！！ 此mod与)
大地色调界面 (更改了ui的色调注意事项:注意：此MOD)
热牛奶壁炉 (修改了初始壁炉的外观，改为奶白色的壁炉注)
帧率显示 (安装该模组之后可以在游戏中看到自己的实时)
小海滩农场 (该模组添加了具有挑战性的袋装海滩农场类型)
好吃的水果 (将水果变成NPC普遍喜欢的物品。)
（fs)高清服装配件包 (需要前置Fashion sence!(h)
更大的复活节彩蛋 (该模组用一个更大的，更明显的版本替换从找)
古代种子 (该模组增加了5种古老的水果类型。其中包括)
粉彩猫树 (一个可爱而简单的猫树的重新上色模型，你可)
工具袋 (增加了一个工具袋，你可以添加一个可配置的)
独轮车 (这个mod增加了一个电动独轮车配方，可以)
可爱狐狸 (此mod新增养殖动物狐狸注意！！ 此mo)
更好看的电视节目 (一个更好看的电视节目，喜欢的快试试吧。注)
全新NPC-伊斯拉 (伊斯拉是一个神秘的水精灵，你会发现她在休)
坦噶森林建筑 (这是一套有意思的新的风格建筑包，喜欢的快)
更大的洞穴 (稍微大一点的农场洞穴。注意事项:注意：此)
可爱的肖像 (使用方法：注意，现在是测试版，如果你迫切)
皮赫尔的大棚屋酒店 (升级后是一个更大的棚子，所以你需要像往常)
时尚感发型 (各种双尾发型包的时尚感框架目前只有4种可)
宠物展示 (一个mod，添加了各种奇异的动物作为宠物)
哥特式风格的窗户 (更改了窗户的外观注意事项:注意：此MOD)
hellokitty农场建筑 (为农场建筑添加了可爱的hellokitt)
动态服装 (为游戏里的一些服装添加了动画效果注意事项)
宽敞温室 (扩建了现有的温室，添加了一个果树园，还增)
再无浪费体力 (此模组确保体力只在你的工具真正起作用时使)
洛离的头发7 (50种发型)
洛离的上衣与裙子40 (六套服装)
天黑后的山姆 (这个mod为山姆增加了大约450行对话，)
（CP）粉色房屋美化 (粉色风格的玩家房屋美化模组，没有制作升级)
女巫花舞裙 (该模组为花舞节增加了两套新服装-为花舞节)
卷发和波波头 (该模组增加了36个新的发型和配件的时尚感)
春季花藤UI (这个模组将ui和标题屏幕更改为春季主题，)
坚持处理晶片 (一旦安装了这个mod，点击并按住鼠标左键)
季节花园农舍 (该模组为您添加了一个季节性的花园农舍，玩)
中式家具 (该模组为游戏中添加了一些中式家具。注意！)
星露谷物语自然重色界面 (星露谷物语的自然重色界面。这有一种去饱和)
战斗戒指 (添加了一个和战斗相关的戒指，装备戒指后能)
大四角多人游戏 (此mod将大四角地图进行了四倍的扩大注意)
更加生动和真实的下水道地图 (这个模组改变了原版下水道地图的外观，使其)
机器剩余时间 (在机器上方显示工作剩余时间注意事项:注意)
每日截图 (每天在你第一次离开农场后会自动截取一张农)
口渴和饥饿 (添加了口渴和饥饿状态栏到游戏中，在右下角)
垃圾外观优化 (对五种垃圾的外观进行了重新绘制注意事项:)
消除矿井的坠落伤害 (该模组消除了从骷髅洞跳下洞造成的伤害。好)
塞巴斯蒂安深度扩展 (这个MOD为《星露谷物语》中这位阴郁的程)
罗宾新的出售 (这个模组会让罗宾在第二年，将销售新商品，)
果仁的藤蔓发型 (缠绕着藤蔓的新发型，6个缠绕着深色藤蔓，)
新的谷仓动物 (这个mod增加了4个新的谷仓动物，可以从)
自动抓鱼 (这个mod使钓鱼更容易他跳过钓鱼的小游戏)
女性化科罗布斯 (该模组使科罗布斯看起来像个女人。但是不知)
视觉怀孕 (当玩家怀孕时，可从视觉上反映出来。注意！)
更好的随天气变化的肖像背景 (根据当前天气和时间更改人像背景，而无需更)
寿司 (该模组为游戏增加了34种寿司食谱，全部使)
魔法师的新肖像 (这是给魔法师的一幅新的肖像。注意！！ 此)
塞巴斯蒂安界面 (模组将界面UI修改为塞巴斯蒂安风格注意！)
克林特出售放射性矿石 (将放射性矿石添加到克林特商店在达到 2 )
仙菇树 (赋予蘑菇树更真实和神奇的外观。注意事项:)
烘焙熊的家具 (该模组在游戏中添加了一套烘焙熊的家具。好)
Uxi人物美化包 (很好看的一套美化)
凯蒂的一号衣橱 (该模组在时尚感菜单上增加了9件新衬衫和裙)
动物重制 (该模组对所有合作动物进行简单的材质重制，)
添加超多壁纸地板纹理 (该模组添加了一些墙纸和地板纹理，主要是瓷)
中性色植物图案壁纸 (这是一套以中性色调为主的墙纸，一套32张)
纳蒂-js动漫肖像 - 单身汉 (为亚历克斯、埃利奥特、哈维、萨姆、塞巴斯)
钓鱼方尖碑 (在向导的目录中增加7座小型方尖碑建筑，使)
新箱子 (此mod将箱子的纹理做了修改注意！！ 此)
祝尼魔作为农场动物 (将祝尼魔 添加为牲畜选项。祝尼魔 每天都)
新增大量作物和食谱汉化版 (为游戏添加大量新作物和食谱，这个模组增加)
稍大的标准农场 (潜入星露谷物语标准地图的令人耳目一新且微)
矿石作物和晶洞树 (为您的游戏添加七种新作物和一棵树。现在，)
中世纪小温室 (一个独立的季节性中世纪小温室建筑，可从罗)
皮埃尔出售书籍 (厌倦了为书商打赌？现在不是了。现在皮埃尔)
水獭 (水獭！！！这个模组将可爱、可爱的小水獭带)
更大的温室地图 (该模组用更大的布局取代了温室地图。初始地)
家具展示架 (为农舍墙壁上添加了物品展示架注意事项:注)
魔法花园 (杂草丛生的长满苔藓的建筑，让您的农场有一)
玛尼和贾斯剧情拓展 (对玛尼和贾斯的2、4、6、8、10心事件)
使用小桶的铜消耗不再增加 (显著减少木材和煤炭消耗现在制作一个箱子只)
洛离的头发3 (十种头发)
ModMenu——模组菜单 (安装方法1. 安装最新的SMAPI2. )
QuickShop——快捷商店 (安装方法1. 安装最新的SMAPI2. )
简单传送NPC (这个模组允许玩家传送到 NPC、宠物和动)
不再延迟 (这个mod通过优化资产预加载和内存管理来)
巧妙的衣服改造 (该模组为衬衫，裤子和帽子增加了更多的技能)
大型农场 (这个农场地图的大小为155x155，加起)
基础矿石拓展 (通过在矿山中添加三种新的节点类型来扩展矿)
上层大厅 (该模组通过使用PIF框架增加二层，增加了)
蓝莓配方 (新增六种蓝莓食物蓝莓松饼蓝莓煎饼蓝莓冰棒)
NPC定位指南针 (在屏幕上显示 NPC 和玩家，并使用指示)
季节性山谷 (一个全新的季节性的农场建筑。注意事项:注)
季节性围栏 (通过为每种围栏类型提供季节性变体，为您的)
可爱的篱笆 (可爱的篱笆，有各种蝴蝶结，鲜花和心形，让)
没有胡子和眼镜的哈维 (没有胡子和眼镜的哈维添加了哈维睡觉的贴图)
玛妮商店拓展 (可以从玛妮的商店购买一些有用的物品随着你)
joja洒水器 (这个模组让你可以从 Joja超市 购买洒)
自动浇水作物（可按天配置） (早上自动给农作物浇水（可以每天配置）这个)
天使之翼翅膀 (在游戏中添加了一个闪闪发光的天使之翼翅膀)
添加咖啡类型扩展 (你是否厌倦了喝咖啡时仅以 +1 速度移动)
白色龙猫替换 (该模组将用受电影《龙猫》启发的白色龙猫取)
厨房外观修改 (更改了厨房的外观注意事项:注意：此MOD)
社区中心任务大修 (对社区中心的收集任务系统进行了大修，全新)
钓鱼之王的象征 (捕捉到5条传奇鱼后，便可以使用此mod制)
竞选鹈鹕镇镇长 (这个模组为《星露谷物语》带来了沉浸式的政)
全方位自动喂食 (这个模组彻底优化了《星露谷物语》的畜牧系)
皮埃尔出售电池 (这个模组让皮埃尔以每个 500g 的价格)
洛离的上衣与裙子32 (七套服装)
巨型作物家具 (新增巨型作物外观的家具，你可以自由摆放注)
个人温泉 (这增加了两个独立的水疗室，它们都提供了一)
宝可梦动物 (该模组将“神奇宝贝”中的部分宠物添加在游)
柔和性庄稼 (该模组将所有的庄稼都变成柔和的颜色，为玩)
鸟类学家公会 (该模组为星露谷带来了全新的观鸟体验，包括)
蕾丝地毯 (该模组添加了六个蕾丝地毯，有AT和CP新)
酒吧和咖啡馆家具 (新增酒吧和咖啡馆家具注意！！ 此mod与)
其他商店商品 (您好，这个模组为威利、罗宾和克林特商店添)
鹿替换马 (此mod可以使用鹿坐骑。注意！！ 此mo)
安全炸弹 (更安全的炸弹。炸弹/爆炸性弹药/凝固汽油)
干草容量增加 (这个模组增加了基本的干草容量，以支持动物)
较短的方尖碑 (现在兼容 1.6！使方尖碑的高度达到平时)
季节性婚礼拱门 (用季节性的婚礼拱门取代了标准的婚礼拱门。)
种植矿石 (这个模组可以让你种植，然后收获你的矿石。)
附加巴士内部图 (增加了额外的自定义巴士内部地图，玩家可以)
怪兽屋 (在游戏中添加一个建筑，它可以被扭曲成一个)
(AT)蓝海家具套装 (将默认的家具纹理替换成更贴近大海的颜色和)
